,redshift,highSNREpochs,u,g,r,i,z,y,totalEpochs,mB,frac,NumSNperzBin,numGals,SNperGals
0,0.0531426011585,409,66,70,70,70,66,67,416,7.09427158629,0.983173076923,464.058679707,7.625,60.8601547156
1,0.150008149445,376,38,68,70,69,68,63,424,9.49060296539,0.88679245283,514.494680851,61.90625,8.31086814096
2,0.250000596046,310,17,69,70,69,68,17,436,10.7287560965,0.711009174312,641.693548387,163.303819444,3.92944605074
3,0.350000396371,252,0,51,70,69,62,0,438,11.572598203,0.575342465753,793.005952381,311.149305556,2.54863481365
4,0.450000241399,197,0,37,58,61,41,0,443,12.218192399,0.444695259594,1025.98350254,536.333333333,1.91295867471
5,0.550000727177,144,0,23,47,45,29,0,445,12.7425351255,0.323595505618,1409.93923611,699.105902778,2.01677489849
6,0.650000274181,75,0,0,40,35,0,0,449,13.1842831172,0.167037861915,2731.41666667,809.276041667,3.37513595613
7,0.749999910593,56,0,0,26,30,0,0,452,13.5658273527,0.12389380531,3682.58928571,827.456597222,4.45049238604
8,0.850000053644,22,0,0,6,16,0,0,444,13.9013976004,0.0495495495495,9207.95454545,905.715277778,10.166500192
9,0.949999958277,0,0,0,0,0,0,0,432,14.2006505231,0.0,inf,955.685763889,inf
10,1.0499997139,0,0,0,0,0,0,0,430,14.4704709787,0.0,inf,1038.63888889,inf
11,1.14999961853,0,0,0,0,0,0,0,427,14.7159528147,0.0,inf,1071.20659722,inf
